FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,inferred_ancestry,data_source,assignment_confidence,distance_to_centroid,sample_type,known_ancestry,donor_id,dataset,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,ethnicity_ancestry_concordance,KNN_prediction,RandomForest_prediction,ml_consensus_prediction,KNN_confidence,RandomForest_confidence,ml_consensus_confidence,projection_status,final_consensus_ancestry,final_consensus_confidence,final_consensus_method
NA12874,NA12874,-0.0126001,-0.00801039,0.0088005,0.00188427,0.00252171,0.000444892,0.000503368,-0.002972,0.00153462,0.0061583,-0.00114664,0.0140332,0.0174394,-0.0330074,-0.010815,0.0273024,-0.0109245,-9.74264e-05,0.00084671,0.00341806,EUR,MAGE,0.7353106145177872,0.0014197600067814,MAGE,white,NA12874,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7353106145177872,Stage1_PCA
NA12878,NA12878,-0.012627,-0.00803718,0.00872604,0.00217964,0.00188343,0.00211181,-0.000152161,-0.00238467,0.0017028,0.00616055,-0.00130371,0.0142779,0.0172829,-0.0319243,-0.0102523,0.0255278,-0.0109575,-0.00126912,0.00136821,0.00361177,EUR,MAGE,0.7289382528541413,0.0014539405396437,MAGE,white,NA12878,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7289382528541413,Stage1_PCA
NA12889,NA12889,-0.012633,-0.00853681,0.00926985,0.00239173,-6.7198e-05,-0.00145274,-0.00101226,-0.00139747,-0.000660433,0.00705645,-0.00340324,0.00332657,0.0186417,-0.0334661,-0.0111891,0.028133,-0.0101243,-0.00115191,-0.001259,0.00130733,EUR,MAGE,0.6395643666253674,0.0019333306333835,MAGE,white,NA12889,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.6395643666253674,Stage1_PCA
NA18486,NA18486,0.0558343,-0.00815457,-0.00396984,0.0015846,-0.000391191,-3.37852e-05,0.000346482,-0.00118637,-8.13545e-05,0.00303407,-0.000526633,0.0044252,0.0118618,0.0304324,3.84051e-05,0.0422452,-0.0461729,0.0161939,0.0304769,0.0491349,AFR,MAGE,0.7759117170489306,0.0046774865928053,MAGE,black or african american,NA18486,MAGE,,,YRI,AFR,EAS,,,unknown,,,,,,,Reference,AFR,0.7759117170489306,Stage1_PCA
NA18501,NA18501,0.0561492,-0.00840024,-0.00387502,0.00227202,-0.000501794,-0.000682063,-0.000334609,-0.000117847,0.000371259,0.00291054,-0.00101003,0.00591936,0.0140218,0.0294595,-0.016335,0.0227927,-0.0321551,-0.00774173,0.0195416,0.00859181,AFR,MAGE,0.759059264236678,0.0050292547488513,MAGE,black or african american,NA18501,MAGE,,,YRI,AFR,EAS,,,unknown,,,,,,,Reference,AFR,0.759059264236678,Stage1_PCA
NA18504,NA18504,0.0565129,-0.00867784,-0.0050111,0.00209114,0.000443113,-0.0015409,-0.000551486,-0.00143086,-7.10947e-05,0.00317523,0.000387856,0.00268597,0.0308419,0.0486297,0.0109098,0.0449731,-0.0314966,-0.0176316,0.0426404,0.053728,AFR,MAGE,0.7392691551898558,0.0054423418077444,MAGE,black or african american,NA18504,MAGE,,,YRI,AFR,EAS,,,unknown,,,,,,,Reference,AFR,0.7392691551898558,Stage1_PCA
NA18507,NA18507,0.0565218,-0.00812548,-0.00491339,0.00182875,0.000467613,0.000300642,-0.00116962,-0.000163692,-0.000612272,0.00292023,-0.000202807,0.00565095,0.0128855,0.0386011,-0.00092439,0.0496952,-0.0166148,-0.00195986,0.0215592,0.0607466,AFR,MAGE,0.7434720959997569,0.0053546121012655,MAGE,black or african american,NA18507,MAGE,,,YRI,AFR,EAS,,,unknown,,,,,,,Reference,AFR,0.7434720959997569,Stage1_PCA
NA18508,NA18508,0.0560743,-0.0083449,-0.00418712,0.00372448,0.0014253,-7.54641e-05,-0.000645234,-0.000858648,0.00123497,0.00293195,0.00188601,0.00581656,0.0155652,0.0454232,0.000108626,0.0534544,-0.0270852,-0.0290334,-0.00509775,0.0284973,AFR,MAGE,0.7630725774620283,0.0049454832166806,MAGE,black or african american,NA18508,MAGE,,,YRI,AFR,EAS,,,unknown,,,,,,,Reference,AFR,0.7630725774620283,Stage1_PCA
NA18516,NA18516,0.0564298,-0.00823384,-0.00439319,0.00131066,-0.000298663,-0.000486006,0.000661207,-0.00046469,0.0011852,0.00229196,-0.000779223,0.00717624,-0.000580018,0.0348619,0.0110257,0.0573198,-0.0333743,0.0134305,0.0182017,0.0149385,AFR,MAGE,0.7471346250666242,0.0052781626306353,MAGE,black or african american,NA18516,MAGE,,,YRI,AFR,EAS,,,unknown,,,,,,,Reference,AFR,0.7471346250666242,Stage1_PCA
NA18522,NA18522,0.0559096,-0.00859091,-0.00424551,0.00179486,0.000337354,-0.000373078,-0.00108848,-0.000348996,-6.45225e-05,0.00254196,-0.000684709,0.0017175,0.0149322,0.0347528,-0.0181511,0.0314059,-0.0225726,-0.00510117,-0.0171651,0.0244358,AFR,MAGE,0.7683577663823257,0.0048351633017365,MAGE,black or african american,NA18522,MAGE,,,YRI,AFR,EAS,,,unknown,,,,,,,Reference,AFR,0.7683577663823257,Stage1_PCA
