donor_id,dataset,sample_type,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,PC1,PC2,PC3,ethnicity_ancestry_concordance
003_S_2374,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5889829104854261,-0.00855019,-0.0127442,0.00473852,discordant
003_S_4081,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5894927974332219,-0.00688875,-0.0115273,0.00657936,discordant
003_S_4136,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6067133223535771,-0.00905681,-0.0126351,0.0059973,discordant
003_S_4152,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8038757619969367,-0.00904167,-0.0123621,0.00408678,discordant
003_S_4288,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00645103,-0.00839853,0.0104476,concordant
003_S_4350,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8048320076097798,-0.00885561,-0.0115542,0.00552373,discordant
003_S_4354,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,EUR,1.0,-0.0071814,-0.0109211,0.0063431,concordant
003_S_4373,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6131822625476833,-0.00898875,-0.0120096,0.00326134,discordant
003_S_4441,ADNI,ADNI,black or african american,HANCESTRO:0010,,,EAS,Uncertain,0.6257875964985418,0.0121874,-0.00531012,0.0074101,discordant
003_S_4555,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AMR,1.0,-0.00118378,0.00669714,-0.00127072,discordant
005_S_0546,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6100609640400342,-0.00877571,-0.0122953,0.00513355,discordant
005_S_0553,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5866665641069849,-0.00874852,-0.0118394,0.00500686,discordant
005_S_0572,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.607959735290667,-0.0087811,-0.0124125,0.00520691,discordant
005_S_0602,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8043601716584442,-0.00889356,-0.0132424,0.00523183,discordant
005_S_0610,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.583855472139657,-0.00873905,-0.0121419,0.0046268,discordant
005_S_2390,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.4119169773878566,-0.00841114,-0.0113751,0.005244,discordant
005_S_4168,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5888392839020095,-0.00853856,-0.0117885,0.0057727,discordant
005_S_4185,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6076520050897405,-0.00879095,-0.0123795,0.00536894,discordant
005_S_4707,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5880030456090012,-0.00889082,-0.0126426,0.00631098,discordant
006_S_0498,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5936865445918224,-0.00894553,-0.0121686,0.00601257,discordant
006_S_0731,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AMR,0.8006228761080466,-0.00836316,-0.0116657,0.00772043,discordant
006_S_1130,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00625815,-0.00792546,0.00861816,concordant
006_S_4150,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,Uncertain,0.6085848892592947,-0.00843955,-0.00991628,0.00577664,discordant
006_S_4153,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.593088662090313,-0.00901604,-0.0108774,0.00463638,discordant
006_S_4346,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5846874374619762,-0.00887003,-0.0122427,0.00423926,discordant
006_S_4357,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8041507337519148,-0.00873017,-0.011075,0.00578506,discordant
006_S_4363,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5923748214401413,-0.00878944,-0.0126029,0.00518139,discordant
006_S_4449,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5941515296397089,-0.00833805,-0.0120318,0.0049627,discordant
006_S_4515,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6078799306045874,-0.00904053,-0.011886,0.00481068,discordant
006_S_4546,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5857268391569163,-0.0087412,-0.0119438,0.00457275,discordant
007_S_0068,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6054677968049869,-0.00879163,-0.0113541,0.00427844,discordant
007_S_0101,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5901267334820969,-0.00901869,-0.0126406,0.00558686,discordant
007_S_0128,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6031747417727155,-0.00924045,-0.0116247,0.00682098,discordant
007_S_1206,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5929678669933341,-0.00894545,-0.01209,0.00562089,discordant
007_S_1222,ADNI,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.5821705972162985,0.0318867,-0.00013547,0.0113764,discordant
007_S_2058,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5891548133304763,-0.00879991,-0.0133234,0.00334777,discordant
007_S_2394,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5854588549794171,-0.00853516,-0.012674,0.00447349,discordant
007_S_4272,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8048943798143179,-0.00880979,-0.0109859,0.00701332,discordant
007_S_4387,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6099915389000387,-0.00912338,-0.0119757,0.00532874,discordant
007_S_4467,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.4106142433935715,-0.00866032,-0.011443,0.00613199,discordant
007_S_4488,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8030001985342625,-0.00912506,-0.0127889,0.00558057,discordant
007_S_4516,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6045320893166474,-0.00874195,-0.0122287,0.00533983,discordant
007_S_4611,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.597477141217593,-0.00875409,-0.0112451,0.00286862,discordant
007_S_4620,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5911256010771173,-0.00901343,-0.0116781,0.00459265,discordant
009_S_0842,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6041398076730956,-0.00884288,-0.0121405,0.00308109,discordant
009_S_1030,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.606884760674977,-0.00878903,-0.0131974,0.00636545,discordant
009_S_2208,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8062162946725644,-0.00889964,-0.012081,0.00543368,discordant
009_S_2381,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5911818228606311,-0.00877264,-0.0119337,0.00526447,discordant
009_S_4324,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6106521453859504,-0.00866388,-0.0128441,0.00493949,discordant
009_S_4337,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00676797,-0.00989574,0.010614,concordant
009_S_4359,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5890875708932849,-0.00882592,-0.0117943,0.00555687,discordant
009_S_4388,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6106531494476319,-0.00894679,-0.0116898,0.00447901,discordant
009_S_4530,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6075759854776714,-0.00837884,-0.01176,0.00337364,discordant
009_S_4564,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5925636047192921,-0.00874694,-0.0121455,0.00590519,discordant
009_S_4612,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5891642946077377,-0.008349,-0.0112372,0.00547454,discordant
011_S_0008,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8060455626386992,-0.00798361,-0.0116241,0.00370567,discordant
011_S_0021,ADNI,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.4101835879759679,0.0317617,0.000402621,0.00990872,discordant
011_S_0023,ADNI,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.4096352535193073,0.0351713,0.000613195,0.00938324,discordant
011_S_1080,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8033024931372491,-0.00840468,-0.01166,0.00545302,discordant
011_S_1282,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8060375574890566,-0.00888068,-0.0126161,0.00479956,discordant
011_S_2274,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8051575937046778,-0.00834304,-0.0128081,0.00684785,discordant
011_S_4075,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00549865,-0.00780834,0.00783655,concordant
011_S_4120,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5907275620948998,-0.00908809,-0.0126552,0.00533083,discordant
011_S_4222,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5898927437549161,-0.00881361,-0.0129126,0.00576731,discordant
011_S_4235,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5913709998383077,-0.00878173,-0.01191,0.00522565,discordant
011_S_4366,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5928981135349568,-0.00896337,-0.0132391,0.00579686,discordant
011_S_4547,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5980462031569242,-0.00912993,-0.0127985,0.00604048,discordant
012_S_0637,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5903555815357091,-0.00868329,-0.0132534,0.00465832,discordant
012_S_4012,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6048514297646185,-0.00848077,-0.012714,0.0059163,discordant
012_S_4026,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6052088277881221,-0.00860093,-0.0123663,0.00700431,discordant
012_S_4094,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5914584373414052,-0.00889511,-0.0120273,0.00470927,discordant
012_S_4128,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6028667802642961,-0.00928096,-0.0120654,0.00612804,discordant
012_S_4545,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.606398026327276,-0.00900092,-0.0125785,0.00501523,discordant
012_S_4643,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8061186600419845,-0.00854605,-0.0116213,0.00752741,discordant
013_S_1186,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00663712,-0.0097825,0.00837237,concordant
013_S_2324,ADNI,ADNI,unknown or not reported,unknown,,,Unknown,AMR,1.0,0.00685231,0.00271014,0.00244045,uncertain
013_S_2389,ADNI,ADNI,unknown or not reported,unknown,,,SAS,AMR,1.0,0.00279022,0.00290045,0.000657599,uncertain
013_S_4268,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00584084,-0.00704691,0.00789536,concordant
013_S_4395,ADNI,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.4138894492000398,0.0424395,0.002293,0.0107054,discordant
013_S_4595,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8051318102624078,-0.00896657,-0.0121819,0.00659026,discordant
014_S_0169,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.4101818692407881,-0.00878979,-0.0130405,0.00425474,discordant
014_S_0519,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6057845041259903,-0.00901045,-0.0122962,0.00568319,discordant
014_S_0548,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6039556970046269,-0.00906914,-0.0123889,0.0068909,discordant
014_S_0557,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6058327304513516,-0.00938783,-0.0121557,0.0056006,discordant
014_S_0563,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,EUR,1.0,-0.00671063,-0.0101573,0.0106046,concordant
014_S_0658,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6062881865634966,-0.00914414,-0.0119352,0.00644214,discordant
014_S_2185,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6098558401603065,-0.0087697,-0.0123506,0.00384073,discordant
014_S_2308,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6082780238882985,-0.00845053,-0.0119675,0.00495414,discordant
014_S_4039,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5923361531594273,-0.00848288,-0.0134826,0.0048215,discordant
014_S_4058,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,EUR,0.799095162223124,-0.00875984,-0.0102338,0.00482273,concordant
014_S_4079,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5970277073430336,-0.00801197,-0.0120645,0.00568504,discordant
014_S_4093,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.4134858538563364,-0.00842742,-0.0123262,0.0047639,discordant
014_S_4263,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5922019670064972,-0.00912426,-0.0128953,0.0058674,discordant
014_S_4401,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8050493920550187,-0.00879777,-0.0125202,0.0052654,discordant
014_S_4576,ADNI,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.4108901923543249,0.0376445,0.00249073,0.00928397,discordant
014_S_4577,ADNI,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.4072026486696581,0.0431787,0.00294445,0.0103681,discordant
014_S_4668,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5906045336146131,-0.00774559,-0.0115915,0.00455284,discordant
016_S_0359,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00539784,-0.00762697,0.00951571,concordant
016_S_2284,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AMR,1.0,0.00215358,0.0156359,-0.00715195,discordant
016_S_4009,ADNI,ADNI,white,HANCESTRO:0005,,,SAS,AMR,1.0,-0.00375194,-7.76603e-05,0.00226823,discordant
016_S_4097,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AMR,1.0,0.00390574,0.0203567,-0.00969123,discordant
016_S_4353,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00542714,-0.00770431,0.00837598,concordant
016_S_4591,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5968952698871378,-0.00918501,-0.012152,0.00439125,discordant
018_S_0055,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.611130144187895,-0.00836779,-0.0109355,0.00547551,discordant
018_S_0142,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6057457518942433,-0.00900204,-0.0126103,0.0044084,discordant
018_S_2133,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.604215468395439,-0.00909661,-0.0130031,0.00410758,discordant
018_S_2138,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5965664354385182,-0.00852128,-0.0125681,0.00530991,discordant
018_S_2155,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5858940567627335,-0.00867693,-0.0131057,0.0046938,discordant
018_S_2180,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5839447385208417,-0.00824657,-0.0117179,0.00433562,discordant
018_S_4257,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5870221387620794,-0.00887285,-0.0116824,0.00659566,discordant
018_S_4313,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8059922600459213,-0.00889335,-0.0124049,0.0046785,discordant
018_S_4349,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00568556,-0.00709009,0.0073989,concordant
018_S_4399,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5881165942267805,-0.00870272,-0.0126315,0.00525945,discordant
018_S_4400,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5955598320648455,-0.00922727,-0.0130456,0.00454561,discordant
018_S_4597,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8048664816705434,-0.0093438,-0.0131293,0.00371429,discordant
018_S_4696,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6087716504585126,-0.00900748,-0.0130889,0.00655443,discordant
019_S_4252,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5899149216721389,-0.00879737,-0.0125031,0.00487444,discordant
019_S_4285,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6068297436085266,-0.00898159,-0.0128742,0.00445357,discordant
019_S_4293,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5892623099399057,-0.0087327,-0.0119322,0.00541299,discordant
019_S_4367,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8051694225833531,-0.00860643,-0.0110488,0.00679516,discordant
019_S_4477,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5937634617514861,-0.00863774,-0.0131058,0.00490405,discordant
020_S_1288,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00559374,-0.00834355,0.00864605,concordant
021_S_0159,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,1.0,-0.00914725,-0.0121838,0.00494912,discordant
021_S_0276,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00561161,-0.00853936,0.00887038,concordant
021_S_0337,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5943355237967933,-0.00874495,-0.0127734,0.00578111,discordant
021_S_0984,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8043531799444892,-0.0088427,-0.0117963,0.0057789,discordant
021_S_2100,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5927472179965365,-0.00873391,-0.0127265,0.00302493,discordant
021_S_2124,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8041582888760913,-0.00916951,-0.0122085,0.00581201,discordant
021_S_2125,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6073528398504847,-0.00886528,-0.0123395,0.00657516,discordant
021_S_2142,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5922193690170687,-0.00770795,-0.0120795,0.00618509,discordant
021_S_2150,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5929007899135805,-0.00893434,-0.012756,0.0053603,discordant
021_S_4245,ADNI,ADNI,asian,HANCESTRO:0014,,,Unknown,SAS,1.0,-0.000318057,0.0283129,0.00910434,concordant
021_S_4254,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6059922584113425,-0.00864608,-0.010986,0.00777189,discordant
021_S_4276,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6072880115754661,-0.00878728,-0.0117406,0.00542343,discordant
021_S_4335,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5911961641970559,-0.00847538,-0.0113769,0.00748886,discordant
021_S_4402,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5910002506872668,-0.00879006,-0.0126583,0.00350827,discordant
021_S_4419,ADNI,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.3993051777455342,0.0248044,-0.0020764,0.0104503,discordant
021_S_4421,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.588006341149018,-0.00849858,-0.0115482,0.00458572,discordant
022_S_0130,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00516045,-0.00792083,0.0103115,concordant
022_S_1097,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5919422726549465,-0.00878304,-0.0125528,0.00739917,discordant
022_S_1351,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6013820035242669,-0.00849596,-0.0112429,0.00298977,discordant
022_S_2087,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8029053438744003,-0.00901908,-0.0123864,0.00452027,discordant
022_S_2379,ADNI,ADNI,multiethnic,multiethnic,,,SAS,AMR,1.0,0.00268039,-0.00118059,0.0039203,uncertain
022_S_4173,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,AFR,0.8102169891521168,-0.00809304,-0.00827831,0.00632518,discordant
022_S_4196,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6051700742144862,-0.00875321,-0.011434,0.00599785,discordant
022_S_4266,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00547217,-0.00839842,0.00921799,concordant
022_S_4291,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.591112973030698,-0.00929541,-0.0132074,0.00283176,discordant
022_S_4320,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6080009628419171,-0.00888249,-0.0121025,0.00566472,discordant
022_S_4444,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8043214728327535,-0.00883732,-0.0127223,0.00423118,discordant
023_S_0031,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5857646534755083,-0.00879565,-0.0120802,0.00579345,discordant
023_S_0042,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5904888045611315,-0.0087633,-0.0124264,0.00299288,discordant
023_S_0058,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.806447628317269,-0.00891266,-0.0127701,0.00507135,discordant
023_S_0126,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6088420849430894,-0.00903189,-0.012922,0.00436779,discordant
023_S_0217,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5931259315257937,-0.00880187,-0.0123408,0.00480848,discordant
023_S_0331,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.588700673011508,-0.00901056,-0.0119456,0.00620662,discordant
023_S_0625,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6110525833255617,-0.0083199,-0.0116293,0.00511126,discordant
023_S_0887,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5847519935391073,-0.00715925,-0.0116479,0.00438607,discordant
023_S_1046,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6104840296068166,-0.00891481,-0.0131501,0.00526045,discordant
023_S_1190,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5931150367242093,-0.00897609,-0.0127173,0.00605598,discordant
023_S_2068,ADNI,ADNI,multiethnic,multiethnic,,,Unknown,Uncertain,0.6059659322184625,-0.00891142,-0.0129995,0.00599332,uncertain
023_S_4020,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AMR,0.7952640940792042,-0.00627575,-0.0109422,0.00582273,discordant
023_S_4035,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.807815205895233,-0.00892449,-0.0127449,0.0037585,discordant
023_S_4115,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8059113152915234,-0.00876324,-0.0115182,0.00597486,discordant
023_S_4122,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5908771100511134,-0.00882609,-0.0127186,0.00464127,discordant
023_S_4164,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6063992143391127,-0.00926818,-0.0133088,0.00447609,discordant
023_S_4243,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5918345654514026,-0.0082331,-0.0120584,0.00557188,discordant
023_S_4448,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6092868812396819,-0.00864414,-0.0122337,0.00439237,discordant
023_S_4501,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.604785634459787,-0.00883128,-0.0120679,0.0062814,discordant
024_S_0985,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6067207816675362,-0.00889801,-0.0118736,0.00536449,discordant
024_S_1063,ADNI,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.5854740831874874,0.0221414,-0.00141276,0.00881143,discordant
024_S_2239,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5876010899860156,-0.00824291,-0.0114944,0.00554684,discordant
024_S_4169,ADNI,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.4086669508503232,0.0280542,-0.000587775,0.0083216,discordant
024_S_4223,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5874911872933398,-0.00882327,-0.0124449,0.00511353,discordant
024_S_4280,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5932816879820207,-0.00899202,-0.0127302,0.00441278,discordant
024_S_4392,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00734211,-0.00968293,0.00957808,concordant
027_S_0074,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5872404847465216,-0.00902432,-0.0129342,0.0072485,discordant
027_S_0118,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.587676728535974,-0.00879133,-0.0111194,0.0059829,discordant
027_S_0120,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,Uncertain,0.5962547338348365,-0.00684012,-0.00888369,0.00791182,discordant
