donor_id,dataset,sample_type,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,PC1,PC2,PC3,ethnicity_ancestry_concordance
027_S_0256,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8036101021315494,-0.00857655,-0.0128405,0.00387738,discordant
027_S_0644,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6053154322350637,-0.00882628,-0.0120996,0.00430739,discordant
027_S_0835,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5925479256700078,-0.00863858,-0.0120158,0.00425741,discordant
027_S_1045,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5855430203443329,-0.00868193,-0.0119876,0.00599179,discordant
027_S_1387,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00564065,-0.00764055,0.0104176,concordant
027_S_2219,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8054773745451623,-0.00911078,-0.0121152,0.00571274,discordant
027_S_2245,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5878711684221566,-0.00884508,-0.0121962,0.00344853,discordant
027_S_2336,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6052228204990767,-0.00883378,-0.0121057,0.00427991,discordant
029_S_0824,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5869478674581988,-0.00884049,-0.0122014,0.00346878,discordant
029_S_0843,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5988382818127708,-0.00862051,-0.0109959,0.00746445,discordant
029_S_0845,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5906684455443296,-0.00878469,-0.0112755,0.00560199,discordant
029_S_0878,ADNI,ADNI,asian,HANCESTRO:0014,,,Unknown,EAS,1.0,0.00287263,0.0754772,-0.0164783,concordant
