sample_id,data_source,sample_type,ethnicity_reported,consensus_ancestry,ancestry_confidence,ethnicity_ancestry_concordance,PC1,PC2,PC3
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKK5,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0501229,-0.00911765,0.00496352
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOE,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0483965,-0.00889705,0.00456972
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IKOH,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117785,-0.00758589,0.00576933
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2U,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0397321,-0.00861687,0.00559721
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IL2V,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.054395,-0.009594,0.00572671
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IOXB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0112829,-0.00803387,0.00482313
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1IY9M,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119116,-0.00721631,0.0056031
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1OQ,GTEx,tissue,white,EUR,1.0,uncertain,-0.010262,-0.00597269,0.00794703
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J1R8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116636,-0.00739751,0.00547352
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8EW,GTEx,tissue,white,EUR,1.0,uncertain,-0.0105528,-0.0080824,0.00487359
GTEX-1J8JJ,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116791,-0.00844824,0.00550262
GTEX-1J8JJ,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116791,-0.00844824,0.00550262
GTEX-1J8JJ,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116791,-0.00844824,0.00550262
GTEX-1J8JJ,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116791,-0.00844824,0.00550262
GTEX-1J8JJ,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116791,-0.00844824,0.00550262
GTEX-1J8JJ,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116791,-0.00844824,0.00550262
GTEX-1J8JJ,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116791,-0.00844824,0.00550262
GTEX-1J8JJ,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116791,-0.00844824,0.00550262
GTEX-1J8JJ,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116791,-0.00844824,0.00550262
GTEX-1J8JJ,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116791,-0.00844824,0.00550262
GTEX-1J8JJ,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116791,-0.00844824,0.00550262
GTEX-1J8JJ,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116791,-0.00844824,0.00550262
GTEX-1J8JJ,GTEx,tissue,white,EUR,1.0,uncertain,-0.0116791,-0.00844824,0.00550262
