sample_id,data_source,sample_type,ethnicity_reported,consensus_ancestry,ancestry_confidence,ethnicity_ancestry_concordance,PC1,PC2,PC3
NA19430,MAGE,tissue,black or african american,,,unknown,0.0510498,-0.00601143,-0.00446054
NA19438,MAGE,tissue,black or african american,,,unknown,0.0518165,-0.00607092,-0.00474925
NA19443,MAGE,tissue,black or african american,,,unknown,0.0504195,-0.00547395,-0.00387914
NA19449,MAGE,tissue,black or african american,,,unknown,0.0508767,-0.00529031,-0.00428814
NA19451,MAGE,tissue,black or african american,,,unknown,0.0513834,-0.00616772,-0.00429776
NA19454,MAGE,tissue,black or african american,,,unknown,0.0512056,-0.00587313,-0.00370468
NA19475,MAGE,tissue,black or african american,,,unknown,0.0496476,-0.00532428,-0.0044854
NA19625,MAGE,tissue,black or african american,,,unknown,0.0329063,0.00476383,-0.0127977
NA19648,MAGE,tissue,hispanic or latino,,,unknown,-0.0105102,-0.00393462,0.00607486
NA19649,MAGE,tissue,hispanic or latino,,,unknown,-0.008306,0.00541214,-0.0035021
NA19654,MAGE,tissue,hispanic or latino,,,unknown,-0.00483521,0.0216849,-0.0224733
NA19657,MAGE,tissue,hispanic or latino,,,unknown,-0.00526312,0.0244163,-0.0231023
NA19663,MAGE,tissue,hispanic or latino,,,unknown,-0.00421027,0.0246949,-0.0243991
NA19670,MAGE,tissue,hispanic or latino,,,unknown,-0.00591245,0.0180881,-0.0158267
NA19676,MAGE,tissue,hispanic or latino,,,unknown,-0.00785295,0.00893972,-0.00946378
NA19682,MAGE,tissue,hispanic or latino,,,unknown,-0.00757713,0.0188009,-0.0189865
NA19704,MAGE,tissue,black or african american,,,unknown,0.0449033,-0.00781263,-0.00394685
NA19711,MAGE,tissue,black or african american,,,unknown,0.0473311,-0.0073718,-0.00367386
NA19713,MAGE,tissue,black or african american,,,unknown,0.0373906,-0.00790236,-0.000864175
NA19717,MAGE,tissue,hispanic or latino,,,unknown,-0.00590013,0.0241322,-0.0223702
NA19719,MAGE,tissue,hispanic or latino,,,unknown,-0.0056822,0.0148083,-0.0134585
NA19723,MAGE,tissue,hispanic or latino,,,unknown,-0.00343895,0.0186848,-0.0178235
NA19726,MAGE,tissue,hispanic or latino,,,unknown,-0.00759731,0.0257693,-0.0253128
NA19731,MAGE,tissue,hispanic or latino,,,unknown,-0.00651882,0.0437467,-0.0439481
NA19732,MAGE,tissue,hispanic or latino,,,unknown,-0.00665144,0.0432457,-0.0446078
NA19741,MAGE,tissue,hispanic or latino,,,unknown,-0.00663092,0.0378216,-0.0387295
NA19752,MAGE,tissue,hispanic or latino,,,unknown,-0.00697436,0.0200537,-0.0185351
NA19758,MAGE,tissue,hispanic or latino,,,unknown,-0.00664646,0.0337128,-0.0332726
NA19759,MAGE,tissue,hispanic or latino,,,unknown,-0.00610109,0.0327177,-0.0311872
NA19761,MAGE,tissue,hispanic or latino,,,unknown,-0.0053916,0.0223931,-0.0239202
NA19762,MAGE,tissue,hispanic or latino,,,unknown,-0.00432991,0.025104,-0.026682
NA19764,MAGE,tissue,hispanic or latino,,,unknown,-0.00615046,0.0130866,-0.0135215
NA19770,MAGE,tissue,hispanic or latino,,,unknown,-0.0060909,0.0142561,-0.0150248
NA19773,MAGE,tissue,hispanic or latino,,,unknown,-0.00765596,0.0133961,-0.0120094
NA19774,MAGE,tissue,hispanic or latino,,,unknown,-0.00545004,0.018299,-0.0176136
NA19780,MAGE,tissue,hispanic or latino,,,unknown,-0.00739122,0.0117896,-0.0126119
NA19785,MAGE,tissue,hispanic or latino,,,unknown,-0.00462939,0.0294731,-0.0295781
NA19788,MAGE,tissue,hispanic or latino,,,unknown,-0.00503622,0.0274816,-0.0257487
NA19789,MAGE,tissue,hispanic or latino,,,unknown,-0.00457001,0.0166098,-0.0167905
NA19795,MAGE,tissue,hispanic or latino,,,unknown,-0.00494074,0.0187804,-0.0191859
NA19818,MAGE,tissue,black or african american,,,unknown,0.0374797,-0.00777651,-0.00332608
NA19835,MAGE,tissue,black or african american,,,unknown,0.0439421,-0.007213,-0.00265775
NA19901,MAGE,tissue,black or african american,,,unknown,0.04927,-0.00749588,-0.00337759
NA19904,MAGE,tissue,black or african american,,,unknown,0.04319,-0.00782616,-0.000407812
NA19908,MAGE,tissue,black or african american,,,unknown,0.0474334,-0.00768372,-0.00265097
NA19913,MAGE,tissue,black or african american,,,unknown,0.0450983,-0.00679161,-0.00129812
NA19917,MAGE,tissue,black or african american,,,unknown,0.0491239,-0.00803926,-0.00271118
NA19922,MAGE,tissue,black or african american,,,unknown,0.0347636,-0.00780177,-0.00119554
NA19923,MAGE,tissue,black or african american,,,unknown,0.0282262,-0.00757352,0.00259892
NA19982,MAGE,tissue,black or african american,,,unknown,0.0466721,-0.00737131,-0.00304449
NA20278,MAGE,tissue,black or african american,,,unknown,0.0203131,-0.00842553,0.00111922
NA20287,MAGE,tissue,black or african american,,,unknown,0.0433433,-0.00735826,-0.00268705
NA20294,MAGE,tissue,black or african american,,,unknown,0.0458922,-0.00765333,-0.00319448
NA20298,MAGE,tissue,black or african american,,,unknown,0.0506886,-0.00708665,-0.00488196
NA20314,MAGE,tissue,black or african american,,,unknown,-0.00827185,0.0278466,-0.0215044
NA20317,MAGE,tissue,black or african american,,,unknown,0.0355686,-0.00798789,8.46571e-05
NA20318,MAGE,tissue,black or african american,,,unknown,0.0363032,-0.00608179,-0.00220451
NA20320,MAGE,tissue,black or african american,,,unknown,0.0473076,-0.00653481,-0.0040753
NA20332,MAGE,tissue,black or african american,,,unknown,0.0406275,-0.00743607,-0.00209513
NA20334,MAGE,tissue,black or african american,,,unknown,0.0307332,-0.0078392,0.00134114
NA20342,MAGE,tissue,black or african american,,,unknown,0.0284532,-0.00657743,0.000174945
NA20351,MAGE,tissue,black or african american,,,unknown,0.0328166,-0.00687154,0.00030458
NA20359,MAGE,tissue,black or african american,,,unknown,0.0389552,-0.00774263,-0.00287746
NA20412,MAGE,tissue,black or african american,,,unknown,0.039377,-0.00563648,-0.00350509
NA20502,MAGE,tissue,white,,,unknown,-0.0116609,-0.00682172,0.00942503
NA20507,MAGE,tissue,white,,,unknown,-0.011537,-0.00675738,0.00862417
NA20511,MAGE,tissue,white,,,unknown,-0.0115209,-0.00635342,0.00934856
NA20513,MAGE,tissue,white,,,unknown,-0.0114901,-0.00643139,0.00846688
NA20522,MAGE,tissue,white,,,unknown,-0.011655,-0.00652636,0.00766306
NA20525,MAGE,tissue,white,,,unknown,-0.0114698,-0.0066767,0.00965911
NA20532,MAGE,tissue,white,,,unknown,-0.0115746,-0.00631762,0.00925097
NA20533,MAGE,tissue,white,,,unknown,-0.0115141,-0.00751073,0.00879076
NA20536,MAGE,tissue,white,,,unknown,-0.0115865,-0.00683294,0.0105685
NA20543,MAGE,tissue,white,,,unknown,-0.011417,-0.00713944,0.00971203
NA20587,MAGE,tissue,white,,,unknown,-0.0115363,-0.007062,0.00912439
NA20755,MAGE,tissue,white,,,unknown,-0.0115265,-0.00708215,0.0108628
NA20762,MAGE,tissue,white,,,unknown,-0.0114797,-0.00718965,0.0090409
NA20763,MAGE,tissue,white,,,unknown,-0.0116953,-0.00711297,0.00985215
NA20764,MAGE,tissue,white,,,unknown,-0.0114545,-0.00689003,0.0103972
NA20767,MAGE,tissue,white,,,unknown,-0.0113718,-0.00649508,0.00986574
NA20771,MAGE,tissue,white,,,unknown,-0.0116577,-0.00761851,0.00965926
NA20775,MAGE,tissue,white,,,unknown,-0.0115019,-0.00621827,0.012236
NA20778,MAGE,tissue,white,,,unknown,-0.0117709,-0.00695214,0.00970442
NA20790,MAGE,tissue,white,,,unknown,-0.0114569,-0.00743111,0.0107005
NA20792,MAGE,tissue,white,,,unknown,-0.0117448,-0.00643789,0.0108192
NA20797,MAGE,tissue,white,,,unknown,-0.0112178,-0.00638051,0.0102647
NA20811,MAGE,tissue,white,,,unknown,-0.0113633,-0.00757781,0.00890436
NA20815,MAGE,tissue,white,,,unknown,-0.0114849,-0.00721382,0.00807667
NA20821,MAGE,tissue,white,,,unknown,-0.0113548,-0.00633477,0.00925178
NA20822,MAGE,tissue,white,,,unknown,-0.011456,-0.00660666,0.00782601
NA20827,MAGE,tissue,white,,,unknown,-0.0115549,-0.00690786,0.0116241
NA20832,MAGE,tissue,white,,,unknown,-0.011419,-0.00658259,0.00964342
NA20847,MAGE,tissue,asian,,,unknown,-0.006152,0.0184929,0.00755162
NA20850,MAGE,tissue,asian,,,unknown,-0.00791228,0.0128153,0.00876334
NA20856,MAGE,tissue,asian,,,unknown,-0.00640086,0.0178124,0.00888327
NA20859,MAGE,tissue,asian,,,unknown,-0.00634346,0.0183872,0.00792158
NA20862,MAGE,tissue,asian,,,unknown,-0.00793957,0.0119047,0.00957373
NA20866,MAGE,tissue,asian,,,unknown,-0.0068055,0.0157797,0.00823686
NA20867,MAGE,tissue,asian,,,unknown,-0.0064415,0.0178839,0.00903201
NA20870,MAGE,tissue,asian,,,unknown,-0.00799663,0.0106576,0.00774729
NA20872,MAGE,tissue,asian,,,unknown,-0.00760556,0.0122844,0.0093283
NA20875,MAGE,tissue,asian,,,unknown,-0.00637975,0.0183576,0.00953362
NA20876,MAGE,tissue,asian,,,unknown,-0.00623523,0.0180245,0.00779807
