donor_id,dataset,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,ethnicity_ancestry_concordance,PC1,PC2
NA19449,MAGE,,,LWK,AFR,EAS,,,unknown,0.0508767,-0.00529031
NA19451,MAGE,,,LWK,AFR,EAS,,,unknown,0.0513834,-0.00616772
NA19454,MAGE,,,LWK,AFR,EAS,,,unknown,0.0512056,-0.00587313
NA19475,MAGE,,,LWK,AFR,EAS,,,unknown,0.0496476,-0.00532428
NA19625,MAGE,,,ASW,AFR,Unknown,,,unknown,0.0329063,0.00476383
NA19648,MAGE,,,MXL,AMR,EUR,,,unknown,-0.0105102,-0.00393462
NA19649,MAGE,,,MXL,AMR,EUR,,,unknown,-0.008306,0.00541214
NA19654,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00483521,0.0216849
NA19657,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00526312,0.0244163
NA19663,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00421027,0.0246949
NA19670,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00591245,0.0180881
NA19676,MAGE,,,MXL,AMR,EUR,,,unknown,-0.00785295,0.00893972
NA19682,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00757713,0.0188009
NA19704,MAGE,,,ASW,AFR,EAS,,,unknown,0.0449033,-0.00781263
NA19711,MAGE,,,ASW,AFR,EAS,,,unknown,0.0473311,-0.0073718
NA19713,MAGE,,,ASW,AFR,EAS,,,unknown,0.0373906,-0.00790236
NA19717,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00590013,0.0241322
NA19719,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.0056822,0.0148083
NA19723,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00343895,0.0186848
NA19726,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00759731,0.0257693
NA19731,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00651882,0.0437467
NA19732,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00665144,0.0432457
NA19741,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00663092,0.0378216
NA19752,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00697436,0.0200537
NA19758,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00664646,0.0337128
NA19759,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.00610109,0.0327177
NA19761,MAGE,,,MXL,AMR,Unknown,,,unknown,-0.0053916,0.0223931
