IID,sample_type,KNN_prediction,RandomForest_prediction,consensus_prediction,KNN_confidence,RandomForest_confidence
GTEX-XUZC,GTEx,EUR,AFR,EUR,1.0,0.31
GTEX-XV7Q,GTEx,EUR,EUR,EUR,1.0,0.34
GTEX-XXEK,GTEx,EUR,EUR,EUR,1.0,0.39
GTEX-XYKS,GTEx,AFR,AFR,AFR,1.0,0.79
GTEX-Y111,GTEx,EUR,AFR,EUR,1.0,0.33
GTEX-Y114,GTEx,AFR,AFR,AFR,1.0,0.78
GTEX-Y3I4,GTEx,EUR,AFR,EUR,1.0,0.31
GTEX-Y3IK,GTEx,AFR,AFR,AFR,1.0,0.8
GTEX-Y5LM,GTEx,EUR,EUR,EUR,1.0,0.39
GTEX-Y5V5,GTEx,EUR,EUR,EUR,1.0,0.32
GTEX-Y5V6,GTEx,EUR,EUR,EUR,1.0,0.34
GTEX-Y8DK,GTEx,EUR,EUR,EUR,1.0,0.39
GTEX-Y8E4,GTEx,EUR,EUR,EUR,1.0,0.39
GTEX-Y8E5,GTEx,AFR,AFR,AFR,1.0,0.84
GTEX-Y8LW,GTEx,EUR,EUR,EUR,1.0,0.35
GTEX-Y9LG,GTEx,EUR,AFR,EUR,1.0,0.48
GTEX-YB5E,GTEx,AFR,AFR,AFR,1.0,0.38
GTEX-YB5K,GTEx,EUR,AFR,EUR,1.0,0.33
GTEX-YBZK,GTEx,AFR,AFR,AFR,1.0,0.75
GTEX-YEC3,GTEx,EUR,EUR,EUR,1.0,0.35
GTEX-YEC4,GTEx,EUR,EUR,EUR,1.0,0.32
GTEX-YECK,GTEx,EUR,AFR,EUR,1.0,0.31
GTEX-YF7O,GTEx,EUR,AFR,EUR,1.0,0.33
GTEX-YFC4,GTEx,EUR,EUR,EUR,1.0,0.44
GTEX-YFCO,GTEx,AMR,AMR,AMR,1.0,0.72
GTEX-YJ89,GTEx,EUR,EUR,EUR,1.0,0.34
GTEX-YJ8A,GTEx,EUR,EUR,EUR,1.0,0.31
GTEX-YJ8O,GTEx,EUR,EUR,EUR,1.0,0.37
GTEX-Z93S,GTEx,EUR,EUR,EUR,1.0,0.38
GTEX-Z93T,GTEx,AFR,AFR,AFR,1.0,0.8
GTEX-Z9EW,GTEx,EUR,EUR,EUR,1.0,0.42
GTEX-ZA64,GTEx,EUR,EUR,EUR,1.0,0.42
GTEX-ZAB4,GTEx,EUR,EUR,EUR,1.0,0.33
GTEX-ZAB5,GTEx,EUR,AFR,EUR,1.0,0.29
GTEX-ZAJG,GTEx,AFR,AFR,AFR,1.0,0.78
GTEX-ZAK1,GTEx,EUR,EUR,EUR,1.0,0.34
GTEX-ZAKK,GTEx,AFR,AFR,AFR,1.0,0.81
GTEX-ZC5H,GTEx,EUR,EUR,EUR,1.0,0.39
GTEX-ZDTS,GTEx,EUR,EUR,EUR,1.0,0.31
