IID,sample_type,final_ancestry,ensemble_confidence,knn_prediction,knn_confidence,rf_prediction,rf_confidence,ensemble_agreement,PC1,PC2,PC3,PC4,PC5
099_S_4565,ADNI,EUR,0.6323972984589447,EUR,0.8431963979452596,AFR,0.4397546897546898,False,-0.00857033,-0.0147701,0.00387619,-0.0100271,-0.00391055
100_S_0035,ADNI,EUR,0.634735613532324,EUR,0.846314151376432,AFR,0.46649900099900093,False,-0.00913024,-0.0136948,-0.00262327,-0.00898917,0.00863069
100_S_0047,ADNI,EUR,0.530487184563117,EUR,0.7073162460841561,AFR,0.4805324675324675,False,-0.0090714,-0.0139442,0.000926185,-0.00897748,0.00537551
100_S_0069,ADNI,EUR,0.6347828966570354,EUR,0.8463771955427138,AFR,0.4638261183261183,False,-0.00879466,-0.0131721,-0.00157947,-0.00911084,0.0127871
100_S_4469,ADNI,EUR,0.6344013754612444,EUR,0.8458685006149925,AFR,0.47608802308802306,False,-0.00886339,-0.0138632,-0.000526388,-0.00811007,0.00627959
109_S_2200,ADNI,EUR,0.4193317210803284,EUR,0.5591089614404379,AFR,0.460404761904762,False,0.0385855,0.000501764,0.00221236,0.0123194,0.00484779
109_S_2237,ADNI,EUR,0.5283976019656504,EUR,0.7045301359542007,AFR,0.46611904761904766,False,0.0358198,0.000775325,0.0031868,0.0125188,0.00473455
109_S_2278,ADNI,AFR,0.35130357142857144,AMR,0.43505906461522054,AFR,0.46840476190476193,False,0.0362928,0.00245089,0.000792858,0.0120663,0.00418904
109_S_4260,ADNI,EUR,0.4196695399589335,EUR,0.5595593866119114,AFR,0.4692619047619048,False,0.0410894,0.00191498,0.00285938,0.0152909,0.00636305
109_S_4455,ADNI,EUR,0.75,EUR,1.0,AFR,0.4364761904761905,False,-0.00548221,-0.0101538,0.00687438,0.00782876,-0.101791
109_S_4499,ADNI,EUR,0.75,EUR,1.0,AFR,0.35955555555555563,False,-0.00528604,-0.0100778,0.00814043,0.00865167,-0.114521
114_S_0166,ADNI,EUR,0.6322152495410891,EUR,0.8429536660547854,AFR,0.4670880230880231,False,-0.0085724,-0.0137951,0.00114917,-0.00768438,-0.000609863
114_S_0173,ADNI,EUR,0.6336699317894277,EUR,0.8448932423859036,AFR,0.47108802308802306,False,-0.00871738,-0.0138594,-0.000241499,-0.00689999,0.00757637
114_S_0378,ADNI,EUR,0.636440630594312,EUR,0.8485875074590827,AFR,0.4755324675324675,False,-0.00879832,-0.0142281,0.00105435,-0.0096522,0.00173263
114_S_0416,ADNI,EUR,0.75,EUR,1.0,AFR,0.4362222222222222,False,-0.00633442,-0.0107152,0.00592845,0.00407275,-0.0794553
114_S_1106,ADNI,EUR,0.6365289055502057,EUR,0.8487052074002742,AFR,0.45219913419913416,False,-0.00861257,-0.0130019,0.00221245,-0.0107687,0.00567729
114_S_4404,ADNI,EUR,0.6332105918267897,EUR,0.8442807891023864,AFR,0.46219913419913417,False,-0.00881903,-0.0133363,-0.00105519,-0.00960254,0.00685179
116_S_0361,ADNI,EUR,0.6353463249370344,EUR,0.8471284332493791,AFR,0.4522406482406482,False,-0.00880285,-0.0137493,-0.00023891,-0.00905636,0.0136987
116_S_0382,ADNI,EUR,0.6352814789258313,EUR,0.8470419719011084,AFR,0.4755324675324675,False,-0.00868024,-0.0139074,-0.000782249,-0.00817394,0.00190452
116_S_0649,ADNI,EUR,0.75,EUR,1.0,AFR,0.35733333333333334,False,-0.00554331,-0.00889283,0.00683453,0.00928486,-0.0933549
116_S_0657,ADNI,EUR,0.633518019506837,EUR,0.8446906926757826,AFR,0.4755324675324675,False,-0.00871377,-0.0142127,0.000705932,-0.00917916,0.0044434
116_S_0752,ADNI,EUR,0.6353832170967657,EUR,0.8471776227956876,AFR,0.4755324675324675,False,-0.00866019,-0.0137338,0.000169063,-0.00924998,0.00502654
116_S_0834,ADNI,EUR,0.6328208879995947,EUR,0.8437611839994597,AFR,0.47775468975468977,False,-0.00888302,-0.0142483,-0.000687053,-0.00914035,0.00253637
116_S_1232,ADNI,AMR,0.6436816512583625,AMR,0.8582422016778167,AFR,0.44066666666666665,False,-0.00794466,-0.0127673,0.00275394,-0.00410639,-0.0329903
116_S_1249,ADNI,EUR,0.6364293381595568,EUR,0.8485724508794091,AFR,0.45743722943722936,False,-0.0087597,-0.0134427,0.00128326,-0.0103388,0.010075
116_S_1271,ADNI,EUR,0.6359908311686153,EUR,0.847987774891487,AFR,0.47108802308802306,False,-0.00880195,-0.0139859,0.000446683,-0.0111197,0.0072549
116_S_4010,ADNI,EUR,0.6337706075791947,EUR,0.8450274767722596,AFR,0.47153246753246747,False,-0.00888891,-0.013793,0.00138269,-0.00697569,0.00313405
116_S_4043,ADNI,EUR,0.6381647903845382,EUR,0.8508863871793844,AFR,0.45493722943722936,False,-0.00914708,-0.0139252,-0.00108675,-0.0105496,0.0211128
116_S_4092,ADNI,EUR,0.6351622223303599,EUR,0.8468829631071465,AFR,0.4620874125874125,False,-0.00851062,-0.0121691,-0.00360082,-0.00808551,0.0111679
116_S_4167,ADNI,EUR,0.6366283540340337,EUR,0.8488378053787117,AFR,0.45343722943722936,False,-0.00908192,-0.0145368,-0.000771628,-0.00977098,0.0170734
116_S_4175,ADNI,EUR,0.6343130043936918,EUR,0.8457506725249224,AFR,0.46819913419913417,False,-0.0088245,-0.0138257,0.00160726,-0.00958605,-0.00161354
116_S_4199,ADNI,EUR,0.5305604079112667,EUR,0.7074138772150222,AFR,0.4638261183261183,False,-0.0088813,-0.0138669,-0.00112277,-0.00901403,0.00998037
116_S_4209,ADNI,EUR,0.5297207945539679,EUR,0.7062943927386238,AFR,0.47153246753246747,False,-0.00903775,-0.0132726,0.000679619,-0.0100012,0.00771748
116_S_4338,ADNI,EUR,0.6394826201850251,EUR,0.8526434935800334,AFR,0.348992784992785,False,-0.00908021,-0.0141976,-4.7642e-05,-0.0125136,0.0236517
116_S_4453,ADNI,EUR,0.6425379994889691,EUR,0.8567173326519588,AFR,0.4362222222222222,False,-0.0073917,-0.0114043,0.00319219,-0.000169541,-0.045777
116_S_4483,ADNI,EUR,0.6337185900488206,EUR,0.8449581200650941,AFR,0.47108802308802306,False,-0.00862085,-0.013162,8.38248e-05,-0.00893314,0.00405565
116_S_4625,ADNI,EUR,0.6354148194815772,EUR,0.8472197593087696,AFR,0.48981818181818176,False,-0.00879578,-0.0138012,-0.000977057,-0.0106291,0.00507802
116_S_4635,ADNI,EUR,0.75,EUR,1.0,AFR,0.43733333333333335,False,-0.00622028,-0.0111744,0.00595754,0.00612812,-0.0580021
123_S_0072,ADNI,EUR,0.75,EUR,1.0,AFR,0.43733333333333335,False,-0.00594484,-0.0111292,0.0064178,0.00671164,-0.0609256
123_S_0106,ADNI,EUR,0.5306973936285524,EUR,0.7075965248380698,AFR,0.45343722943722936,False,-0.00906685,-0.013215,0.00010594,-0.0102565,0.0126675
123_S_0108,ADNI,EUR,0.6349966265088398,EUR,0.846662168678453,AFR,0.4755324675324675,False,-0.00877377,-0.013358,-0.000957437,-0.00982815,0.00717921
123_S_0113,ADNI,EUR,0.6347101287130167,EUR,0.8462801716173556,AFR,0.4755324675324675,False,-0.0088245,-0.0133813,-0.000887395,-0.00641984,0.00410809
123_S_0298,ADNI,EUR,0.634996767242164,EUR,0.8466623563228853,AFR,0.4755324675324675,False,-0.00871525,-0.0133603,-0.000207019,-0.00563024,0.00395496
123_S_1300,ADNI,EUR,0.6365413957944048,EUR,0.8487218610592064,AFR,0.45493722943722936,False,-0.00879597,-0.013847,-0.00143024,-0.0069462,0.0117521
123_S_2055,ADNI,EUR,0.6370050542579774,EUR,0.8493400723439698,AFR,0.45743722943722936,False,-0.00880687,-0.0135651,-1.08438e-05,-0.00835936,0.0141529
123_S_2363,ADNI,EUR,0.5290759168230045,EUR,0.7054345557640059,AFR,0.47108802308802306,False,-0.0088819,-0.0145133,0.00122743,-0.00957764,0.00652042
123_S_4096,ADNI,EUR,0.6382340750759009,EUR,0.8509787667678679,AFR,0.46728338328338315,False,-0.00902124,-0.0134612,-0.000267877,-0.00921356,0.013569
123_S_4127,ADNI,EUR,0.6337346761128957,EUR,0.8449795681505277,AFR,0.4732467532467532,False,-0.00848494,-0.0127065,0.000971821,-0.00874594,-0.0036666
123_S_4170,ADNI,EUR,0.6349431925265019,EUR,0.8465909233686693,AFR,0.45493722943722936,False,-0.00838894,-0.0140741,-0.00150559,-0.00946906,0.00827015
123_S_4526,ADNI,EUR,0.6348811843474146,EUR,0.8465082457965528,AFR,0.45993722943722937,False,-0.00910776,-0.0141992,-0.00155048,-0.0107816,0.00818535
126_S_0605,ADNI,EUR,0.6373196959209737,EUR,0.8497595945612982,AFR,0.45743722943722936,False,-0.00879648,-0.0146812,-0.00101921,-0.0100897,0.0113148
126_S_0680,ADNI,EUR,0.6353001450149859,EUR,0.8470668600199812,AFR,0.4663261183261183,False,-0.00906754,-0.013877,-0.000782986,-0.0097161,0.00910712
126_S_0709,ADNI,EUR,0.6349567369938773,EUR,0.8466089826585032,AFR,0.46243722943722937,False,-0.00901671,-0.0140697,0.000331248,-0.0110632,0.00858155
126_S_1187,ADNI,EUR,0.6354128105265957,EUR,0.8472170807021276,AFR,0.4641038961038961,False,-0.00862062,-0.0142721,0.000487435,-0.011087,0.0106711
126_S_2405,ADNI,SAS,0.8814808802308802,SAS,1.0,SAS,0.7629617604617603,True,-0.00403989,0.0111609,0.0156372,0.0567485,0.00821299
126_S_4458,ADNI,EUR,0.633750305193058,EUR,0.8450004069240773,AFR,0.4877229437229436,False,-0.00858809,-0.0142615,0.000526632,-0.00974678,0.0129201
126_S_4494,ADNI,EUR,0.6364003625800746,EUR,0.8485338167734328,AFR,0.45219913419913416,False,-0.00888898,-0.0141598,0.00206925,-0.010824,0.00382286
126_S_4507,ADNI,EUR,0.6351638435704672,EUR,0.8468851247606228,AFR,0.48743722943722934,False,-0.00921436,-0.0139333,0.00115976,-0.0108635,0.0105079
126_S_4514,ADNI,EUR,0.6343375258164957,EUR,0.8457833677553276,AFR,0.4755324675324675,False,-0.00881068,-0.0133673,0.00110113,-0.0106852,0.00299038
126_S_4686,ADNI,EUR,0.6338346663190837,EUR,0.845112888425445,AFR,0.4641038961038961,False,-0.00877856,-0.0138379,0.000247072,-0.00949875,0.0106952
127_S_0112,ADNI,EUR,0.6351302816223872,EUR,0.8468403754965161,AFR,0.4755324675324675,False,-0.0088536,-0.0140074,0.000862775,-0.00997638,0.00540681
127_S_0259,ADNI,EUR,0.6352847054522203,EUR,0.8470462739362937,AFR,0.45743722943722936,False,-0.00897472,-0.014608,-0.000856333,-0.0102176,0.00977902
127_S_0260,ADNI,EUR,0.6345959273943877,EUR,0.8461279031925171,AFR,0.47775468975468977,False,-0.00871282,-0.0148464,-0.00102936,-0.008882,0.0060441
127_S_0622,ADNI,EUR,0.6339877567573543,EUR,0.8453170090098058,AFR,0.4121991341991342,False,-0.00901478,-0.0134743,0.00177972,-0.0117282,0.00357629
127_S_0684,ADNI,EAS,0.8796965811965812,EAS,1.0,EAS,0.7593931623931625,True,0.00204946,0.0788765,0.0183467,-0.0416729,-0.0106301
127_S_0925,ADNI,EUR,0.6342681883730198,EUR,0.8456909178306931,AFR,0.45549278499278495,False,-0.00919145,-0.013345,-0.00186342,-0.0103565,0.00819377
127_S_1032,ADNI,EUR,0.6372741549445117,EUR,0.8496988732593489,AFR,0.46454834054834054,False,-0.00874899,-0.0121332,6.24414e-05,-0.00934241,0.0216701
127_S_1427,ADNI,EUR,0.6358557627507577,EUR,0.847807683667677,AFR,0.4755324675324675,False,-0.00869223,-0.014192,0.001105,-0.0108526,0.00727434
127_S_2213,ADNI,EUR,0.75,EUR,1.0,AFR,0.39333333333333337,False,-0.00688763,-0.011008,0.00673629,0.00528534,-0.0589643
127_S_2234,ADNI,EUR,0.5280453681217642,EUR,0.7040604908290189,AFR,0.47153246753246747,False,-0.00843351,-0.0125552,-0.000698204,-0.00707974,0.00131053
127_S_4148,ADNI,EUR,0.6336230822663405,EUR,0.8448307763551206,AFR,0.45299278499278495,False,-0.00871633,-0.013721,-0.000104727,-0.00912721,0.00849235
127_S_4197,ADNI,EUR,0.6351482904955379,EUR,0.8468643873273838,AFR,0.43743722943722935,False,-0.00922427,-0.0141377,0.000545505,-0.0115163,0.0104909
127_S_4198,ADNI,AFR,0.3523160173160173,AMR,0.42265981041259043,AFR,0.46975468975468976,False,-0.00867679,-0.0140013,-0.000105187,-0.0087815,-0.00770399
127_S_4210,ADNI,EUR,0.6340938882212425,EUR,0.8454585176283232,AFR,0.47108802308802306,False,-0.008743,-0.0138638,0.000135312,-0.00999522,0.00205816
127_S_4240,ADNI,EUR,0.6345674315582308,EUR,0.8460899087443077,AFR,0.4805324675324675,False,-0.00827284,-0.013487,0.000823083,-0.00918453,0.00561173
127_S_4301,ADNI,EUR,0.6367219738465676,EUR,0.8489626317954234,AFR,0.4755324675324675,False,-0.00922505,-0.0136613,0.000250324,-0.00863027,0.00787919
127_S_4500,ADNI,EUR,0.5309939950446435,EUR,0.707991993392858,AFR,0.46188167388167384,False,-0.00896507,-0.0129404,-0.00087965,-0.0104216,0.0129313
127_S_4604,ADNI,EUR,0.634605056368708,EUR,0.8461400751582774,AFR,0.4755324675324675,False,-0.0088678,-0.0143701,0.000755192,-0.00900854,0.001284
127_S_4645,ADNI,EUR,0.6338945655852175,EUR,0.8451927541136233,AFR,0.4981991341991342,False,-0.00862811,-0.0137936,0.00059027,-0.00978573,0.00770465
128_S_0135,ADNI,EUR,0.6368630575680235,EUR,0.8491507434240314,AFR,0.48470707070707064,False,-0.00929242,-0.0139583,-0.000357211,-0.0112502,0.0130173
128_S_0138,ADNI,EUR,0.6352041833391605,EUR,0.8469389111188806,AFR,0.4755324675324675,False,-0.00859057,-0.0142335,0.000874165,-0.0094369,0.00491306
128_S_0200,ADNI,EAS,0.8796965811965812,EAS,1.0,EAS,0.7593931623931625,True,0.0018249,0.078837,0.018706,-0.0428764,-0.0123941
128_S_0205,ADNI,EUR,0.634509532004263,EUR,0.8460127093390173,AFR,0.45553246753246746,False,-0.00892789,-0.0138651,-0.000197938,-0.0108696,0.00670336
128_S_0225,ADNI,EUR,0.6355052580345565,EUR,0.8473403440460753,AFR,0.44735175935175925,False,-0.0089237,-0.0136954,0.0012191,-0.00859053,0.0101809
128_S_0229,ADNI,EUR,0.6340390356081512,EUR,0.8453853808108683,AFR,0.4805324675324675,False,-0.0088093,-0.0126533,-0.000100104,-0.0100822,0.00395477
128_S_0230,ADNI,EUR,0.634920515088778,EUR,0.8465606867850374,AFR,0.45343722943722936,False,-0.00842443,-0.0132006,0.000395217,-0.00852314,0.0089778
128_S_0272,ADNI,EUR,0.6336933460596215,EUR,0.8449244614128286,AFR,0.4755324675324675,False,-0.00866327,-0.01303,-0.000136238,-0.00995107,0.00499554
128_S_0522,ADNI,EUR,0.6384159140780274,EUR,0.8512212187707032,AFR,0.36151415251415253,False,-0.00914009,-0.0142084,-0.00323536,-0.0127509,0.0173037
128_S_0545,ADNI,EUR,0.6339378313163785,EUR,0.8452504417551713,AFR,0.491088023088023,False,-0.0088013,-0.0146075,-7.50731e-05,-0.00921859,0.00465458
128_S_0770,ADNI,EUR,0.75,EUR,1.0,AFR,0.35733333333333334,False,-0.0056678,-0.00955379,0.0080448,0.00860075,-0.10458
128_S_0863,ADNI,AMR,0.5349236019657291,AMR,0.7132314692876387,AFR,0.4628888888888889,False,-0.00783901,-0.0124331,0.00320988,-0.0012234,-0.0256592
128_S_1043,ADNI,AMR,0.8871388888888889,AMR,1.0,AMR,0.7742777777777777,True,-0.00476826,0.00785456,-0.0456769,0.000371477,-0.0182288
128_S_1406,ADNI,EUR,0.5270142560473007,EUR,0.7026856747297342,AFR,0.47875468975468977,False,-0.00854411,-0.0138261,0.000937279,-0.00838962,-0.00433566
128_S_1407,ADNI,AFR,0.44081685849223917,AFR,0.4770024593532208,AFR,0.4046312576312576,True,0.0221661,0.00182895,0.00613732,0.0219693,0.0081275
128_S_1408,ADNI,EUR,0.6357121897437289,EUR,0.8476162529916386,AFR,0.4755324675324675,False,-0.00832232,-0.0136282,0.000632826,-0.00804478,0.00230579
128_S_2002,ADNI,EUR,0.6361127397848197,EUR,0.848150319713093,AFR,0.4779927849927849,False,-0.00886206,-0.0132818,0.000144703,-0.00754052,0.0171656
128_S_2003,ADNI,EUR,0.6367365911768692,EUR,0.8489821215691589,AFR,0.45743722943722936,False,-0.00875698,-0.0138952,-0.000774718,-0.0100129,0.0124517
128_S_2036,ADNI,EUR,0.6337544729495659,EUR,0.8450059639327545,AFR,0.45303246753246745,False,-0.00889264,-0.0127978,-0.00128596,-0.00808363,0.00683915
128_S_2045,ADNI,EUR,0.6345742336080297,EUR,0.8460989781440396,AFR,0.4755324675324675,False,-0.00902876,-0.013592,-0.000593429,-0.0108734,0.00363733
